RW9sMtmrz2g,VPN groups
ys7q1MVbSP4,Different patterns of sampling visual space in the Drosophila visual system
3Gvpj9ghnH4,Regions of the Drosophila visual system and 15 columnar cell types
YKOyvToKCg4,Cm17, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
OMj1ltJ3ZVQ,Cm18, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
FVeWRFMmsQk,Cm16, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
5EICmdTugU4,Cm22, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
zJo3VYNmbOU,Cm27, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
ug9a5B2k8Lk,Cm30, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
sZrQ_8Wj3wI,Cm32, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
q0oSsUX1OJg,Cm28, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
KrCWTsJNuFQ,Cm31b, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
IKK9zJLDzcc,Cm25, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
Ezk_gdNyXE4,Cm24, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
C6FqLBMbJHQ,Cm29, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
51seHKpOVu4,Cm26, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
1fTkos3RdvU,Cm31a, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
_EDSIOUuncY,Dm2, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
VsJJvWK_P1A,Dm1, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
Ur7Eh90h1Xo,dCal1, a Drosophila Visual Projection Neuron from optic-lobe:v1.0 (short)
PcgyhQyDoK0,Cm33, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
NObz1COc1J8,Cm34, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
Lhi_Z6oZlh4,Cm-DRA, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
KvGMcuQ6P5Q,CT1, a Drosophila Optic Lobe Connecting Neuron from optic-lobe:v1.0 (short)
ISLq7eBTOxg,DCH, a Drosophila Visual Centrifugal Neuron from optic-lobe:v1.0 (short)
6isn6TQ5yKU,Cm35, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
-t4zdm-LQ0s,Dm3a, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
JwJr-yFuKKA,Dm12, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
ueFkH2fpf3g,Dm11, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
rcBhSO-dvqY,Dm4, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
QlsOxrXphMI,Dm3b, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
PQVYJGe0SyA,Dm8b, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
HDL8fTlD0jg,Dm10, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
FuipnRXuxGY,Dm6, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
2_IA7jpVOos,Dm8a, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
29mm-KtTp8A,Dm9, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
-xpxkEFuyow,Dm3c, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
62GGUqr0OAk,Dm13, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
uIEkUZWRU0A,Dm19, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
rXgV86IT58Y,Dm16, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
fc8bTjE3VXc,Dm15, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
_dhuS2xDPVA,Dm-DRA1, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
YY9wiaY6Y2g,Dm20, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0 (short)
N_kP2MyEaCA,Dm18, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
7fseAG0gbqw,Dm17, a Drosophila Optic Lobe Intrinsic Neuron from optic-lobe:v1.0
